# Q(1/A)  I_MAP  dI_MAP
4.593226852759474421e-04 1.994104269423008896e+06 8.336428490289153706e+04
4.674031726973237508e-04 1.996518822621645872e+06 8.166494762532557070e+04
4.756258135090291571e-04 1.997389768068861682e+06 7.996024398620672582e+04
4.839931084991136640e-04 1.996705679360103561e+06 7.825184611908455554e+04
4.925076024499411634e-04 1.994458670479442459e+06 7.654143678166723112e+04
5.011718849121454215e-04 1.990644468426514883e+06 7.483070425647926459e+04
5.099885909922013136e-04 1.985262473032795824e+06 7.312133719163159549e+04
5.189604021538510780e-04 1.978315803412689595e+06 7.141501940604533593e+04
5.280900470336315948e-04 1.969811330552969826e+06 6.971342468382434163e+04
5.373803022707437623e-04 1.959759695606901776e+06 6.801821158317579830e+04
5.468339933515259680e-04 1.948175313526711427e+06 6.633101828490069602e+04
5.564539954687812385e-04 1.935076361739750486e+06 6.465345750579287414e+04
5.662432343962222865e-04 1.920484753649059683e+06 6.298711150184734288e+04
5.762046873783001951e-04 1.904426096817996819e+06 6.133352718591047596e+04
5.863413840356865954e-04 1.886929635780539829e+06 5.969421138351361151e+04
5.966564072866850513e-04 1.868028179503372405e+06 5.807062625021493295e+04
6.071528942848553869e-04 1.847758013612309238e+06 5.646418487247854500e+04
6.178340373731258011e-04 1.826158797583600739e+06 5.487624707322382892e+04
6.287030850546972138e-04 1.803273447189483326e+06 5.330811544186229730e+04
6.397633429810239058e-04 1.779148002576430794e+06 5.176103160727878276e+04
6.510181749571761949e-04 1.753831482443214161e+06 5.023617277075483435e+04
6.624710039648880767e-04 1.727375724873658735e+06 4.873464851436926983e+04
6.741253132036073917e-04 1.699835215464805253e+06 4.725749789881429024e+04
6.859846471498516618e-04 1.671266903474939056e+06 4.580568686294724466e+04
6.980526126352087348e-04 1.641730006796308560e+06 4.438010593615133257e+04
7.103328799432973061e-04 1.611285806634349981e+06 4.298156827249652997e+04
7.228291839260267805e-04 1.579997432847494725e+06 4.161080801511438767e+04
7.355453251394940967e-04 1.547929640969124623e+06 4.026847899714115920e+04
7.484851709998638055e-04 1.515148581994920503e+06 3.895515378489480645e+04
7.616526569595811688e-04 1.481721566074366448e+06 3.767132306763617817e+04
7.750517877042825687e-04 1.447716821293784771e+06 3.641739539775426965e+04
7.886866383707528830e-04 1.413203248779749963e+06 3.519369728372312966e+04
8.025613557863182966e-04 1.378250175385185285e+06 3.400047363851722912e+04
8.166801597300381906e-04 1.342927105245911051e+06 3.283788858479173359e+04
8.310473442160855534e-04 1.307303471512185642e+06 3.170602661789738340e+04
8.456672787997030838e-04 1.271448389567945153e+06 3.060489412725247166e+04
8.605444099061390672e-04 1.235430413049130468e+06 2.953442127626065485e+04
8.756832621829534462e-04 1.199317293962600874e+06 2.849446423929848606e+04
8.910884398761216964e-04 1.163175748187344288e+06 2.748480779433244970e+04
9.067646282303438391e-04 1.127071227611190639e+06 2.650516826750150722e+04
9.227165949139888058e-04 1.091067700118200388e+06 2.555519682440742326e+04
9.389491914691063153e-04 1.055227438595117535e+06 2.463448310084513287e+04
9.554673547869477505e-04 1.019610820069591049e+06 2.374255916234558390e+04
9.722761086094437039e-04 9.842761360291899182e+05 2.287890377859320506e+04
9.893805650571007096e-04 9.492794148977859877e+05 2.204294699515412867e+04
1.006785926183767325e-03 9.146742575670909137e+05 2.123407497958729437e+04
1.024497485558761465e-03 8.805116867944467813e+05 2.045163511451487284e+04
1.042520629876825733e-03 8.468400111855240539e+05 1.969494130458874133e+04
1.060860840596406342e-03 8.137047043826924637e+05 1.896327945875363730e+04
1.079523695606757075e-03 7.811482999768592417e+05 1.825591310346508544e+04
